Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
HMR_6591		m2722 + m3608  => m746 + m3631 	(ENSG00000054148) or (ENSG00000063601) or (ENSG00000087053) or (ENSG00000111077) or (ENSG00000111696) or (ENSG00000112367) or (ENSG00000117598) or (ENSG00000125458) or (ENSG00000126821) or (ENSG00000137770) or (ENSG00000139304) or (ENSG00000139505) or (ENSG00000144048) or (ENSG00000158079) or (ENSG00000160539) or (ENSG00000163719) or (ENSG00000165458) or (ENSG00000165688) or (ENSG00000198825) or (ENSG00000205309) or (ENSG00000205808) or (ENSG00000211456) or (ENSG00000213920)	0	 -0.00	1000.00	  0.00
HMR_6592		m741 + m1720  => m1606 + m3606 	(ENSG00000107242) or (ENSG00000143398) or (ENSG00000186111)	0	 -0.00	1000.00	  0.00
HMR_6595		m1720 + m3608  => m1606 + m3606 	(ENSG00000107242) or (ENSG00000143398) or (ENSG00000186111)	0	 -0.00	1000.00	  0.00
HMR_7652		m1720 + m3299  => m1424 + m1606 	(ENSG00000068745) or (ENSG00000145725) or (ENSG00000161896) or (ENSG00000168781) or (ENSG00000176095)	0	 -0.00	1000.00	  0.00
HMR_7654		m1425 + m2726  => m3300 + m3635 	(ENSG00000068745) or (ENSG00000145725) or (ENSG00000161896) or (ENSG00000168781) or (ENSG00000176095)	0	 -0.00	1000.00	  0.00
HMR_7655		m1424 + m2722  => m3299 + m3631 	(ENSG00000122824) or (ENSG00000173598) or (ENSG00000196368)	0	 -0.00	1000.00	  0.00
HMR_7656		m1424 + m1720  => m727 + m1606 	(ENSG00000145725) or (ENSG00000168781)	0	 -0.00	1000.00	  0.00
HMR_8799		m716 + m1723  => m714 + m1609 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_8800		m718 + m1723  => m714 + m1609 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_8803		m721 + m1723  => m714 + m1609 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_8804		m1723 + m2274  => m721 + m1609 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_8805		m1723 + m2274  => m716 + m1609 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_8807		m2726 + m3607  => m3610 + m3635 	(ENSG00000171862)	0	 -0.00	1000.00	  0.00
HMR_8808		m2726 + m3607  => m742 + m3635 		0	 -0.00	1000.00	  0.00
HMR_8811		m742 + m1723  => m1609 + m3607 		0	 -0.00	1000.00	  0.00
